t_pi,event_idx,arduino_t_ms,peak,evt_duration_ms,state_at_evt,capture_ms,infer_ms,latency_ms,class_id,class_name,confidence,top5,fired
1789872104.743,0,6271394,548,10,awake,2.1,30.5,39.7,-1,none,0.000,645:0.057;819:0.051;721:0.035;627:0.035;608:0.026,0
1789872115.447,1,6282100,616,10,awake,2.4,46.0,56.0,-1,none,0.000,951:0.090;943:0.061;954:0.055;929:0.041;942:0.041,0
1789872264.615,2,6414336,550,10,awake,1.5,18.6,26.6,918,comic book,0.768,918:0.768;455:0.143;625:0.018;917:0.010;550:0.007,0
1789874128.623,3,8271325,521,10,awake,0.0,0.0,108.5,955,banana,0.870,,1
1789874152.294,4,8319314,520,10,awake,0.0,0.0,105.0,955,banana,0.870,,1
1789874173.825,5,8340850,525,10,awake,0.0,0.0,106.6,955,banana,0.870,,1
1789874182.626,6,8349652,519,10,awake,0.0,0.0,105.6,955,banana,0.870,,1
1789874214.638,7,8381672,528,10,awake,0.0,0.0,105.7,955,banana,0.870,,1
1789874241.967,8,8409006,527,10,awake,0.0,0.0,104.6,955,banana,0.870,,1
