t_pi,boot_id,uptime_s,first_event_idx,pid
1789866049.127,7a574696-654b-4b08-af08-5f9b79ee1b0f,801.5,0,1235
1789866250.434,8843382f-4a69-4834-bc23-9d7e66c540d0,11.3,0,587
