t_mac,sample_idx,voltage_V,current_A,power_W,dp_V,dn_V,temp_C,energy_J,charge_C
1789866891.538,0,5.16056,0.58375,3.01248,1.551,1.548,1100.9,0.00004,0.00001
1789866891.538,1,5.15931,0.80325,4.14422,1.551,1.548,1100.9,0.00009,0.00002
1789866891.538,2,5.19680,0.57005,2.96244,1.552,1.548,1100.9,0.00013,0.00003
1789866891.538,3,5.21804,0.54488,2.84321,1.552,1.549,998.5,0.00017,0.00003
1789866891.538,4,5.21679,0.54214,2.82823,1.551,1.549,998.5,0.00048,0.00009
1789866891.538,5,5.21804,0.54140,2.82505,1.550,1.548,998.5,0.00079,0.00015
1789866891.538,6,5.21554,0.54513,2.84315,1.551,1.548,998.5,0.00110,0.00021
1789866891.539,7,5.17306,0.66447,3.43734,1.550,1.547,998.5,0.00148,0.00028
1789866891.539,8,5.21929,0.55086,2.87510,1.550,1.548,998.5,0.00153,0.00029
1789866891.539,9,5.21804,0.55286,2.88485,1.550,1.548,998.5,0.00158,0.00030
1789866891.539,10,5.20514,0.54164,2.81931,1.550,1.547,998.5,0.00163,0.00031
1789866891.539,11,5.21679,0.53816,2.80747,1.550,1.548,998.5,0.00169,0.00032
1789866891.545,12,5.21804,0.54140,2.82505,1.550,1.548,1024.1,0.01902,0.00365
1789866891.551,13,5.20514,0.53965,2.80895,1.551,1.548,1024.1,0.03625,0.00696
1789866891.557,14,5.21554,0.53865,2.80935,1.551,1.548,998.5,0.05349,0.01026
1789866891.563,15,5.21679,0.54937,2.86595,1.551,1.548,998.5,0.07107,0.01363
1789866891.573,16,5.21804,0.54488,2.84321,1.552,1.548,998.5,0.09941,0.01906
1789866891.583,17,5.20514,0.54463,2.83488,1.552,1.548,998.5,0.12768,0.02449
1789866891.593,18,5.17680,0.70110,3.62945,1.551,1.548,998.5,0.16386,0.03148
1789866891.603,19,5.18055,0.69686,3.61012,1.551,1.548,998.5,0.19985,0.03843
1789866891.613,20,5.21929,0.54115,2.82442,1.551,1.548,1024.1,0.22820,0.04386
1789866891.623,21,5.20764,0.54214,2.82327,1.551,1.548,998.5,0.25654,0.04930
1789866891.633,22,5.21929,0.55161,2.87901,1.551,1.548,998.5,0.28544,0.05484
1789866891.643,23,5.20764,0.54787,2.85311,1.550,1.548,998.5,0.31408,0.06034
1789866891.653,24,5.21804,0.54264,2.83152,1.551,1.548,998.5,0.34250,0.06579
1789866891.663,25,5.21804,0.54140,2.82505,1.551,1.548,998.5,0.37085,0.07122
1789866891.673,26,5.20764,0.53766,2.79994,1.550,1.548,998.5,0.39895,0.07662
1789866891.683,27,5.20764,0.54015,2.81291,1.550,1.548,1024.1,0.42719,0.08204
1789866891.698,28,5.17930,0.70509,3.65187,1.550,1.547,1024.1,0.47947,0.09213
1789866891.712,29,5.22429,0.55410,2.89478,1.551,1.548,1024.1,0.52091,0.10006
1789866891.726,30,5.20737,0.55061,2.86723,1.550,1.548,1024.1,0.56195,0.10795
1789866891.741,31,5.21804,0.53766,2.80553,1.550,1.548,998.5,0.60212,0.11564
1789866891.746,32,5.21929,0.53816,2.80881,1.551,1.548,1024.1,0.61780,0.11865
1789866891.752,33,5.20737,0.54239,2.82443,1.551,1.548,998.5,0.63357,0.12168
1789866891.757,34,5.21804,0.54239,2.83021,1.551,1.548,1024.1,0.64938,0.12471
1789866891.763,35,5.21929,0.54663,2.85302,1.550,1.548,1024.1,0.66531,0.12776
1789866891.773,36,5.21929,0.54688,2.85433,1.550,1.548,1024.1,0.69385,0.13323
1789866891.783,37,5.20737,0.53741,2.79849,1.550,1.548,1024.1,0.72184,0.13860
1789866891.793,38,5.16931,0.69861,3.61133,1.550,1.548,998.5,0.75796,0.14559
1789866891.803,39,5.20788,0.54787,2.85324,1.550,1.548,1024.1,0.78650,0.15107
1789866891.813,40,5.20788,0.54364,2.83121,1.551,1.548,1024.1,0.81488,0.15652
1789866891.823,41,5.21804,0.54488,2.84321,1.550,1.548,1024.1,0.84338,0.16198
1789866891.833,42,5.21929,0.54588,2.84911,1.551,1.548,1024.1,0.87194,0.16745
1789866891.843,43,5.20788,0.54140,2.81955,1.551,1.548,1024.1,0.90020,0.17288
1789866891.853,44,5.20788,0.54140,2.81955,1.551,1.548,1024.1,0.92867,0.17835
1789866891.863,45,5.21804,0.54040,2.81983,1.550,1.548,1024.1,0.95715,0.18380
1789866891.873,46,5.21804,0.54065,2.82113,1.551,1.548,998.5,0.98565,0.18927
1789866891.883,47,5.21804,0.55236,2.88224,1.550,1.548,1024.1,1.01476,0.19484
1789866891.893,48,5.21003,0.68989,3.59435,1.550,1.548,1024.1,1.05038,0.20168
1789866891.903,49,5.21003,0.55186,2.87521,1.551,1.548,1024.1,1.07887,0.20715
1789866891.913,50,5.21003,0.54488,2.83884,1.551,1.548,1024.1,1.10701,0.21255
1789866891.923,51,5.21003,0.54414,2.83499,1.550,1.548,1024.1,1.13510,0.21794
1789866891.933,52,5.21003,0.53890,2.80769,1.550,1.548,1024.1,1.16311,0.22332
1789866891.943,53,5.21003,0.54065,2.81680,1.551,1.548,1024.1,1.19122,0.22871
1789866891.953,54,5.21003,0.54414,2.83499,1.551,1.548,1024.1,1.21950,0.23414
1789866891.963,55,5.22054,0.54389,2.83940,1.551,1.548,1024.1,1.24783,0.23957
1789866891.975,56,5.23053,0.50153,2.62327,1.551,1.548,1024.1,1.27867,0.24546
1789866891.986,57,5.22803,0.49406,2.58296,1.552,1.549,1024.1,1.30904,0.25127
1789866891.998,58,5.22304,0.50651,2.64552,1.551,1.548,1024.1,1.34015,0.25723
1789866892.010,59,5.22678,0.49929,2.60968,1.551,1.548,1024.1,1.37084,0.26310
1789866892.018,60,5.22678,0.50203,2.62400,1.551,1.548,1024.1,1.39248,0.26724
1789866892.026,61,5.22803,0.50851,2.65851,1.551,1.548,1024.1,1.41442,0.27144
1789866892.035,62,5.22803,0.50228,2.62593,1.551,1.548,1024.1,1.43608,0.27558
1789866892.043,63,5.22554,0.50029,2.61429,1.551,1.548,1024.1,1.45765,0.27971
1789866892.053,64,5.23053,0.49705,2.59983,1.551,1.548,1024.1,1.48368,0.28469
1789866892.063,65,5.22803,0.49655,2.59598,1.551,1.548,1024.1,1.50967,0.28966
1789866892.073,66,5.22554,0.49954,2.61037,1.551,1.548,1024.1,1.53580,0.29466
1789866892.083,67,5.22678,0.50278,2.62792,1.550,1.547,1024.1,1.56211,0.29969
1789866892.093,68,5.22554,0.53218,2.78093,1.550,1.547,1024.1,1.59057,0.30514
1789866892.104,69,5.22803,0.50627,2.64679,1.550,1.548,1024.1,1.61766,0.31032
1789866892.114,70,5.22678,0.50128,2.62008,1.549,1.547,1024.1,1.64447,0.31545
1789866892.124,71,5.22554,0.50402,2.63378,1.549,1.547,1024.1,1.67143,0.32061
1789866892.134,72,5.22803,0.50178,2.62332,1.549,1.548,1024.1,1.69705,0.32551
1789866892.144,73,5.22803,0.49456,2.58557,1.549,1.548,1024.1,1.72230,0.33034
1789866892.153,74,5.22803,0.50178,2.62332,1.549,1.548,1024.1,1.74792,0.33524
1789866892.163,75,5.23053,0.50552,2.64414,1.549,1.548,1024.1,1.77374,0.34018
1789866892.173,76,5.22928,0.50078,2.61872,1.549,1.548,1024.1,1.79992,0.34518
1789866892.183,77,5.22429,0.50552,2.64098,1.550,1.548,1024.1,1.82632,0.35024
1789866892.193,78,5.23928,0.45444,2.38094,1.550,1.548,1024.1,1.85012,0.35478
1789866892.203,79,5.22803,0.50577,2.64418,1.551,1.548,1024.1,1.87656,0.35983
1789866892.213,80,5.21577,0.50851,2.65227,1.550,1.548,1024.1,1.90306,0.36492
1789866892.223,81,5.22803,0.51249,2.67931,1.551,1.548,1024.1,1.92983,0.37004
1789866892.233,82,5.22928,0.50427,2.63697,1.551,1.548,1024.1,1.95617,0.37507
1789866892.243,83,5.23803,0.44946,2.35428,1.551,1.548,1024.1,1.97969,0.37956
1789866892.253,84,5.23803,0.44672,2.33993,1.551,1.548,1024.1,2.00308,0.38403
1789866892.263,85,5.23928,0.45320,2.37444,1.550,1.548,1024.1,2.02681,0.38856
1789866892.273,86,5.23803,0.45519,2.38430,1.551,1.548,1024.1,2.05063,0.39311
1789866892.283,87,5.23928,0.45295,2.37313,1.550,1.548,1024.1,2.07435,0.39763
1789866892.293,88,5.21783,0.51499,2.68713,1.550,1.548,1024.1,2.10135,0.40281
1789866892.303,89,5.21783,0.60667,3.16550,1.550,1.547,1024.1,2.13315,0.40890
1789866892.313,90,5.21783,0.50975,2.65979,1.549,1.547,1024.1,2.15988,0.41403
